# rate 12.5K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 25423839.0; 8169.885; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 21300403.333; 154733.612; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 4123446.667; 146566.6; 0.0; 0.0; 3.0; 1.0; 21300392.333; 154734.553; 0.0; 0.0; 11.0; 1.0; 21300392.333; 154734.553; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed; 25431279.0; 16477.783; 1700950.0; 1098.848; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 24074456.667; 2362312.969; 0.0; 0.0; 824204.0; 56803.589; 0.0; 0.0; 2866666.0; 2204951.137; 191111.333; 146997.321; 3.0; 1.0; 22564607.0; 2214667.137; 1509838.667; 147645.606; 11.0; 1.0; 22564607.0; 2214667.137; 685634.667; 203151.031; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 25435263.0; 18955.867; 1701215.667; 1263.995; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 25268817.667; 2237713.552; 3801654.333; 166228.575; 1267210.0; 55409.879; 0.0; 0.0; 1750936.333; 2080012.624; 116730.667; 138674.853; 2.0; 2.0; 23684320.667; 2097847.507; 1584485.0; 139864.226; 12.0; 2.0; 23684320.667; 2097847.507; 317275.0; 86063.171; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 25455469.667; 16605.265; 1702562.333; 1105.941; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 24928231.667; 2186854.662; 7525659.667; 443272.552; 1254280.667; 73870.097; 0.0; 0.0; 2090442.0; 2038181.327; 139362.0; 135875.601; 4.333; 3.215; 23365021.667; 2050176.952; 1563200.333; 136674.513; 9.667; 3.215; 23365021.667; 2050176.952; 308919.667; 63237.696; 0.0; 0.0; 4284708.0; 375600.253;
detailed\\\_all\\\_khash; 25358623.333; 113617.238; 1696106.667; 7575.094; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 22057731.0; 303991.8; 3492748.0; 43316.749; 1164244.0; 14432.443; 0.0; 0.0; 4684688.333; 300302.381; 312314.0; 20020.295; 4.667; 0.577; 20673929.0; 284993.676; 1383792.667; 18998.611; 9.333; 0.577; 20673929.0; 284993.676; 219548.667; 6102.937; 0.0; 0.0; 3791095.0; 52539.167;


# rate 20K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 28915198.0; 5989.503; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 21540895.333; 404592.556; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 7374312.667; 401478.155; 0.0; 0.0; 4.0; 0.0; 21540885.333; 404592.556; 0.0; 0.0; 10.0; 0.0; 21540885.333; 404592.556; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed; 28912597.333; 14029.037; 1933040.0; 935.597; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 23344339.667; 386388.526; 0.0; 0.0; 940252.333; 25994.958; 0.0; 0.0; 7032469.333; 366124.715; 468832.0; 24406.818; 4.333; 1.528; 21880122.0; 362242.009; 1464208.0; 24147.712; 9.667; 1.528; 21880122.0; 362242.009; 523955.667; 3399.178; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 28907900.667; 6817.029; 1932727.0; 454.238; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 25883527.333; 2481743.719; 4056285.0; 295180.143; 1352100.667; 98388.521; 0.0; 0.0; 4647291.0; 2329553.137; 309814.0; 155300.168; 3.333; 1.155; 24260603.667; 2326637.588; 1622913.0; 155105.516; 10.667; 1.155; 24260603.667; 2326637.588; 270812.333; 57030.748; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 28922790.667; 5530.916; 1933719.333; 369.102; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 23452487.667; 2476361.943; 7532554.667; 537438.9; 1255444.667; 89575.599; 0.0; 0.0; 6941276.0; 2318317.152; 462749.333; 154553.246; 5.0; 2.646; 21981508.667; 2321587.613; 1470970.0; 154771.772; 9.0; 2.646; 21981508.667; 2321587.613; 215525.333; 65201.101; 0.0; 0.0; 4030988.667; 425499.117;
detailed\\\_all\\\_khash; 28938460.333; 22515.65; 1934764.0; 1501.144; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 25634795.333; 2468476.852; 4006551.0; 340178.67; 1335518.0; 113401.672; 0.0; 0.0; 4911031.667; 2291688.344; 327400.0; 152781.027; 5.333; 0.577; 24027422.667; 2314195.432; 1607364.0; 154281.612; 8.667; 0.577; 24027422.667; 2314195.432; 271846.0; 42418.41; 0.0; 0.0; 4405904.333; 424369.387;


# rate 22.5K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
