# rate 12.5K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
detailed; 244668671.0; 3330081.936; 16316894.333; 222006.764; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 29028313.0; 3426474.6; 0.0; 0.0; 1767774.0; 205223.283; 0.0; 0.0; 217460390.333; 6385908.096; 14496864.333; 425811.866; 5.667; 0.577; 27208274.667; 3212239.959; 1820030.0; 214234.943; 8.333; 0.577; 27208274.667; 3212239.959; 52256.0; 9026.41; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 238188413.667; 3064868.006; 15884871.667; 204332.268; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 26979908.0; 2934164.981; 5007663.333; 546029.483; 1669943.333; 182178.669; 0.0; 0.0; 212900463.667; 4501169.693; 14192915.333; 300168.843; 6.333; 1.528; 25287944.0; 2750694.76; 1691956.333; 183469.05; 7.667; 1.528; 25287944.0; 2750694.76; 22013.0; 1340.527; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 227351403.667; 1103586.296; 15162406.333; 73575.583; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 29793226.333; 428459.326; 11060592.333; 160409.997; 1844250.333; 26570.045; 0.0; 0.0; 199426143.667; 1477667.536; 13294440.667; 98458.275; 7.333; 0.577; 27925254.0; 401748.655; 1867965.667; 26710.138; 6.667; 0.577; 27925254.0; 401748.655; 23715.333; 258.461; 0.0; 0.0; 5121614.0; 73725.389;
detailed\\\_all\\\_khash; 154457009.667; 186127.037; 10302740.0; 12413.009; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 25041206.0; 129910.829; 4633446.333; 23914.325; 1545020.0; 8023.807; 0.0; 0.0; 130986377.667; 200140.161; 8732167.667; 13354.861; 6.333; 0.577; 23470626.0; 121770.955; 1570572.333; 8140.444; 7.667; 0.577; 23470626.0; 121770.955; 25552.333; 137.264; 0.0; 0.0; 4303665.667; 21901.23;


# throughput rate 12.5K
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
12.5; 10983.433; 10970.488; 10947.928; 10931.453; 10905.295; 10923.49;


# throughput rate 15K
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
15; 12942.972; 13024.634; 13027.592; 13022.408; 13061.663; 13081.832;


# throughput rate 17.5K
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
17.5; 15520.389; 15512.762; 15517.296; 15519.657; 15532.043; 15472.857;


# throughput rate 20K
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
20; 17797.883; 17646.217; 17644.576; 17641.767; 17650.856; 17660.351;


# throughput rate 22.5K
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
22.5; 19699.352; 19790.241; 19786.622; 19793.219; 19799.597; 19698.173;


# throughput rate 25K
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
25; 21995.64; 22174.365; 22216.532; 22244.127; 22204.676; 22336.846;


# throughput rate 50K
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
50; 44443.155; 44250.628; 44335.845; 44360.577; 44362.853; 35886.216;


# throughput rate 100K
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
100; 83140.606;  70238.924;  65989.524;  64081.614;  62927.762;  43998.516;


# throughput rate max
#rate; vanilla; raw; detailed; detailed\\\_all; detailed\\\_all\\\_uhash; detailed\\\_all\\\_khash;
max; 161756.464; 156046.36; 149482.28; 145523.595; 138900.558; 94358.308;
