#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 164663233.0; 594273.092; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 116049108.667; 204682.058; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 48614135.667; 797143.713; 0.0; 0.0; 2.667; 0.577; 116049097.333; 204682.366; 0.0; 0.0; 11.333; 0.577; 116049097.333; 204682.366; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed; 146375695.0; 180337.7; 9763982.333; 12020.774; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 139519443.0; 458683.826; 0.0; 0.0; 5532585.333; 13183.593; 0.0; 0.0; 15581421.667; 597153.864; 1038819.333; 39839.763; 1.333; 2.309; 130794267.333; 429985.1; 8725163.0; 28697.938; 12.667; 2.309; 130794267.333; 429985.1; 3192577.667; 34994.129; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 144419280.0; 387647.656; 9633547.667; 25844.743; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 117171315.333; 392348.419; 19368972.667; 67665.32; 6458709.333; 21565.905; 0.0; 0.0; 34576391.333; 742793.283; 2305126.667; 49551.663; 2.333; 1.528; 109842882.667; 367789.211; 7328421.0; 24557.726; 11.667; 1.528; 109842882.667; 367789.211; 869711.667; 3395.847; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 148127976.0; 391089.717; 9880795.667; 26076.287; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 81462889.667; 26966.728; 27427500.0; 75266.73; 4576717.667; 12557.303; 0.0; 0.0; 71761572.333; 414369.086; 4784314.0; 27644.595; 3.667; 2.082; 76366397.667; 25280.468; 5096481.667; 1684.786; 10.333; 2.082; 76366397.667; 25280.468; 519764.0; 12465.777; 0.0; 0.0; 14001535.0; 4881.116;
detailed\\\_all\\\_khash; 86348017.667; 5277.8; 5762101.333; 349.243; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 92110127.0; 5627.042; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 86348011.667; 5277.8; 5762101.333; 349.243; 14.0; 0.0; 86348011.667; 5277.8; 5762101.333; 349.243; 0.0; 0.0; 15831301.333; 1721.035;
