#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; saved; saved-DEV; truncated; truncated-DEV;
raw; 165119310.333; 313158.874; 0.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 116996891.333; 415092.879; 0.0; 0.0; 0.0; 0.0; 48122406.0; 480008.144; 0.0; 0.0; 116996891.333; 415092.879; 0.0; 0.0; 116996879.333; 415093.815; 0.0; 0.0;
detailed; 147177862.667; 57075.815; 9817454.0; 3806.217; 6.0; 0.0; 6534.0; 0.0; 138796330.333; 819717.164; 0.0; 0.0; 5553260.0; 21555.07; 17061483.667; 825043.183; 1137483.667; 55026.705; 130116360.0; 768462.931; 8679970.333; 51254.256; 133243057.667; 798310.385; 0.0; 0.0;
detailed\\\_all; 147897131.333; 335462.5; 9865410.0; 22361.814; 6.0; 0.0; 6534.0; 0.0; 119239790.333; 274480.662; 19771550.333; 35891.698; 6593404.667; 11475.655; 36114946.333; 592136.549; 2407785.667; 39549.715; 111782166.0; 257251.968; 7457624.333; 17228.743; 92874823.0; 253372.076; 0.0; 0.0;
detailed\\\_all\\\_uhash; 152946276.0; 236494.8; 10202020.0; 15767.003; 6.0; 0.0; 6534.0; 0.0; 80503749.0; 293438.588; 27183762.0; 98632.538; 4536341.667; 16475.324; 77479044.0; 420914.612; 5165484.0; 28040.908; 75467213.0; 275120.384; 5036536.0; 18318.204; 62377699.667; 229619.929; 13836425.0; 50437.375;
detailed\\\_all\\\_khash; 86452250.333; 111174.018; 5769049.333; 7412.653; 6.0; 0.0; 6534.0; 0.0; 92221280.667; 118586.671; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 86452231.333; 111174.018; 5769049.333; 7412.653; 92221266.667; 118586.671; 15850997.667; 19904.911;
