#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; saved; saved-DEV; truncated; truncated-DEV;
raw; 255052630.333; 3414132.729; 0.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 23475333.667; 302436.562; 0.0; 0.0; 0.0; 0.0; 231577283.667; 3663775.554; 0.0; 0.0; 23475333.667; 302436.562; 0.0; 0.0; 23475326.0; 302435.985; 0.0; 0.0;
detailed; 243779374.333; 2127189.528; 16257608.333; 141816.152; 6.0; 0.0; 6534.0; 0.0; 30259978.333; 3334961.139; 0.0; 0.0; 1842227.333; 201522.823; 215416412.667; 5237759.188; 14360572.667; 349299.15; 28362942.667; 3126417.898; 1897035.667; 208543.247; 28417742.667; 3133436.331; 0.0; 0.0;
detailed\\\_all; 239217871.333; 4399345.166; 15953508.0; 293292.592; 6.0; 0.0; 6534.0; 0.0; 30570272.0; 3858582.627; 5677069.333; 719625.595; 1893211.667; 240068.107; 210563908.333; 8014006.873; 14037180.0; 534342.115; 28653944.0; 3617353.821; 1916328.0; 241228.806; 22999984.0; 2898889.27; 0.0; 0.0;
detailed\\\_all\\\_uhash; 232693163.0; 752848.362; 15518515.0; 50186.536; 6.0; 0.0; 6534.0; 0.0; 28137405.0; 318565.017; 10443776.333; 114001.321; 1741479.667; 19150.614; 206320258.667; 1051069.989; 13753995.333; 70091.867; 26372885.333; 298630.584; 1764519.667; 19934.477; 21174590.0; 242419.682; 4836498.0; 54504.382;
detailed\\\_all\\\_khash; 147785626.0; 669811.68; 9857974.0; 44653.152; 6.0; 0.0; 6534.0; 0.0; 34901850.667; 920588.65; 6452302.667; 173192.462; 2151210.0; 57709.439; 115070633.333; 1526545.569; 7671097.0; 101746.695; 32714973.667; 863072.153; 2186877.0; 57516.497; 26298329.667; 690061.738; 5999170.333; 159139.835;
