#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; lost; lost-DEV; returned; returned-DEV; saved; saved-DEV; truncated; truncated-DEV;
raw; 160166650.0; 232764.641; 0; 0; 0.0; 0.0; 6534.0; 0.0; 160166637.0; 232764.641; 0.0; 0.0; 0.0; 0.0; 160166637.0; 232764.641; 160166623.0; 232764.641; 0.0; 0.0;
detailed; 157398122.0; 45572.94; 9842632.0; 2850.186; 6.0; 0.0; 6534.0; 0.0; 157398103.0; 45572.94; 0.0; 0.0; 0.0; 0.0; 157398103.0; 45572.94; 157398089.0; 45572.94; 0.0; 0.0;
detailed\\\_all; 187723464.0; 552376.031; 11737982.0; 34519.655; 6.0; 0.0; 6534.0; 0.0; 123214202.667; 186329.545; 27502972.0; 72654.704; 64509242.333; 517231.696; 123214202.667; 186329.545; 95711220.333; 127596.317; 0.0; 0.0;
detailed\\\_all\\\_uhash; 184749360.333; 567679.191; 11552096.667; 35477.245; 6.0; 0.0; 6534.0; 0.0; 82285802.333; 197469.564; 32670670.0; 87442.851; 102463539.0; 731642.253; 82285802.333; 197469.564; 63616706.667; 226887.831; 14143369.333; 35087.889;
detailed\\\_all\\\_khash; 106584125.333; 219348.504; 6666730.0; 13709.44; 6.0; 0.0; 6534.0; 0.0; 106584106.333; 219348.504; 0.0; 0.0; 0.0; 0.0; 106584106.333; 219348.504; 106584092.333; 219348.504; 18318504.0; 39181.316;
