stats; calls; calls-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; lost; lost-DEV; returned; returned-DEV; saved; saved-DEV; truncated; truncated-DEV;
t01\\\_dio\\\_1ES\\\_raw; 248325818.0; 380084.82; 0.0; 0.0; 6534.0; 0.0; 23490235.667; 220899.935; 0.0; 0.0; 224835569.333; 358808.015; 23490235.667; 220899.935; 23490228.333; 220900.743; 0.0; 0.0;
t02\\\_dio\\\_1ES\\\_detailed; 249155780.0; 8966333.745; 6.0; 0.0; 6534.0; 0.0; 28937627.0; 3515155.529; 1760961.667; 208733.586; 220218134.0; 12480247.406; 28937627.0; 3515155.529; 27176657.333; 3306427.31; 0.0; 0.0;
t03\\\_dio\\\_1ES\\\_detailed\\\_paths; 226705288.667; 341450.127; 6.0; 0.0; 6534.0; 0.0; 35601809.0; 113580.22; 8822124.0; 28034.431; 191103460.667; 435999.978; 35601809.0; 113580.22; 26779676.667; 86845.49; 0.0; 0.0;
t04\\\_dio\\\_1ES\\\_detailed\\\_all; 224344204.333; 637853.594; 6.0; 0.0; 6534.0; 0.0; 35077244.0; 300514.979; 8683757.667; 74551.506; 189266941.333; 894287.164; 35077244.0; 300514.979; 26393479.333; 226069.087; 0.0; 0.0;
t05\\\_dio\\\_1ES\\\_detailed\\\_all\\\_plain; 205928749.0; 13355640.364; 6.0; 0.0; 6534.0; 0.0; 31976494.667; 3464879.981; 13872066.333; 1498421.299; 173952235.333; 16819318.508; 31976494.667; 3464879.981; 24049596.333; 2608694.932; 5497048.0; 596084.974;
t06\\\_dio\\\_1ES\\\_detailed\\\_all\\\_khash; 149867216.0; 5451734.043; 6.0; 0.0; 6534.0; 0.0; 30662930.0; 3531335.91; 7556363.0; 860182.743; 119204267.0; 8982586.428; 30662930.0; 3531335.91; 23106559.333; 2671154.262; 5270245.667; 606941.187;
t07\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_tid; 66574522.667; 704925.801; 0.0; 0.0; 0.0; 0.0; 29361404.667; 2005540.269; 2965256.0; 242982.636; 37213118.0; 2684439.28; 29361404.667; 2005540.269; 26396148.667; 1941156.995; 0.0; 0.0;
t08\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_orwc; 259916205.667; 2533944.237; 6.0; 0.0; 6534.0; 0.0; 30639171.667; 3386175.436; 1865711.0; 204124.389; 229277015.0; 5899814.179; 30639171.667; 3386175.436; 28773453.0; 3182055.572; 0.0; 0.0;
t09\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_read; 260202119.667; 3394848.932; 6.0; 0.0; 6534.0; 0.0; 31106205.0; 3371193.411; 1892755.333; 201354.326; 229095895.667; 6736062.154; 31106205.0; 3371193.411; 29213441.333; 3169839.728; 0.0; 0.0;
t10\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_stat; 259809989.333; 3219746.213; 6.0; 0.0; 6534.0; 0.0; 28654110.333; 3702019.091; 1747033.667; 223540.659; 231155860.0; 5858045.045; 28654110.333; 3702019.091; 26907068.667; 3478477.633; 0.0; 0.0;
