extension; number of files
log;2736
vswp;2733
vmdk;2732
vmem;2732
(empty);1811
gif;1700
dll;1699
h__;1614
htm;1122
txt;913
cpp;787
jpg;766
exe;690
pdb;362
lib;357
mp3;269
pdf;253
pst;249
wma;239
vhd;234
pch;230
sjs;6
ywr;6
ijp;6
tjl;5
