setup; used; free; buff; cach;
vanilla; 333962710.9;13897746292;49474827.84;2126883324;
passive\\\_filter;1848625904;12417534421;50837356.25;2093730522;
detailedP_{all}; 2568601685;12398274412;51103000.72;1418492426;
orwc\\\_filter;2608163435;12363802885;51007104.62;1412943263;
read\\\_filter;2349805659;12620864419;51380019.43;1413935957;
tid\\\_filter; 2345892541;12655246460;58540632.08;1362637760;
