#strace - events; complete; incomplete;
detailedP_{all}C_{uhash};193087640.0; 6681286.438; 12878133.333; 445418.37; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 53901827.667; 3580720.334; 19728624.333; 1122983.546; 3289036.0; 187065.084; 0.0; 0.0; 142560176.0; 10032457.207; 9503770.333; 668439.552; 7.333; 1.155; 50527458.0; 3357297.662; 3374363.0; 223423.287; 6.667; 1.155; 50527458.0; 3357297.662; 85327.0; 36403.118; 0.0; 0.0; 9264761.0; 616167.049;
detailedP_{all}C_{khash};131298826.0; 5417764.955; 8758845.333; 361187.716; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 51898219.667; 5865716.994; 8893644.0; 1002727.77; 2965442.667; 334088.044; 0.0; 0.0; 82649395.667; 10909270.718; 5510059.333; 727263.404; 4.667; 2.517; 48649424.333; 5499132.874; 3248786.0; 366583.481; 9.333; 2.517; 48649424.333; 5499132.874; 283343.333; 33094.798; 0.0; 0.0; 8920417.667; 1008012.097;


#dio-elk - throughput
raw;141009.939; 1138.47;
detailedP_{fds};136638.115; 521.52;
detailedP_{all};128446.524; 2404.652;
detailedP_{all}C_{uhash};117958.555; 4081.932;
detailedP_{all}C_{khash};80203.104; 3309.313;
