setup; usr; sys; idl; wai; stl;
all; 29.067; 54.46; 16.134; 0.339; 0;
tid\\\_filter; 13.795; 56.249; 29.485; 0.471; 0;
orwc\\\_filter; 28.676; 54.498; 16.506; 0.32; 0;
read\\\_filter; 30.213; 64.127; 5.132; 0.529; 0;
passive\\\_filter; 13.256; 81.998; 3.85; 0.896; 0;
