pos;color;setup; usr; sys; idl; wai; stl;
0;1;1; 26.178;72.618;0.735;0.469;0;
1;1;4;31.498;67.417;0.69;0.394;0;
2;2;{/:Bold 7};31.982;67.006;0.629;0.383;0;
3;1;10;31.888;67.137;0.587;0.389;0;
4;1;15;30.903;68.148;0.561;0.388;0;




