vanilla
vanilla; 0;


strace; trace-size
raw; 8.2;
detailedP_{args}; 9.3;
detailedP_{all}; 9.1;
detailedP_{all}C_{plain}; 79;


sysdig; trace-size
detailedP_{all}; 31;
detailedP_{all}C_{plain}; 179;


sysdig-es; trace-size
vanilla; 0;


DIO; trace-size
raw; 66;
detailedP_{fds}; 70;
detailedP_{all}; 57;
detailedP_{all}C_{uhash}; 40;
detailedP_{all}C_{khash}; 51;


DIO; trace-size
vanilla; 0;
