pos;color;setup; usr; sys; idl; wai; stl;
0;2;{/:Bold 125}; 20.913; 77.972; 0.612; 0.504; 0;
1;1;250; 26.428;72.303;0.811;0.458;0;
2;1;500; 30.822;67.991;0.779;0.408;0;
3;1;1K;37.488; 61.604; 0.604; 0.304; 0;
4;1;2K;46.459;53.1;0.334;0.107;0;
5;1;4K;48.892;50.788;0.248;0.071;0;
6;1;15K; 48.045;51.652;0.257;0.045;0;
