pos;color;setup; used; free; buff; cach;
0;1;16; 1499275413;13506336858;50586498.61;1368125484;
1;1;256; 1759270957;13246383938;50386941.73;1368315932;
2;1;512; 2052895325;12952756194;50435037.53;1368267835;
3;2;{/:Bold 1024}; 2575622490;12429358876;50385999.18;1368765437;
4;1;2048; 3642269085;11362606019;50699415.16;1368873758;
5;1;4096; 5832802959;9156480438;52426758.82;1381773621;
