pos;color;setup; used; free; buff; cach;
0;2;{/:Bold 125}; 1637176534;13299595001;48468543.83;1441692811;
1;1;250; 1701739414;13256314475;48053841.64;1406096924;
2;1;500; 1738062905;13224415356;48109714.23;1402398446;
3;1;1K;1788756159;13215073926;48014036.34;1362067521;
4;1;2K;1981532505;13022984641;47914123.03;1362444126;
5;1;4K;1945500188;13058467365;47856545.67;1363276261;
6;1;15K;2032215080;12941541294;48596359.34;1391625932;
