pos;color;setup; used; free; buff; cach;
0;1;1; 2166498156;12833311051;51694981.07;1368383940;
1;1;4; 2427212984;12585811566;50523175.02;1357349967;
2;2;{/:Bold 7}; 2568601685;12398274412;51103000.72;1418492426;
3;1;10;2764028881;12248040930;50347985.02;1358061607;
4;1;15;3050700870;11939061540;51340271.71;1379862900;
