#sysdig; complete; incomplete;
0;2;{/:Bold 125}; 1988629; 139;
1;1;250; 3450790; 438;
2;1;500; 4564257; 768;
3;1;1K; 6300107; 1031;
4;1;2K; 5951794; 825;
5;1;4K; 5778625; 696;
6;1;15K; 4850257; 594;


#sysdig; throughput-avg; throughput-dev;
125; 142711.546; 1248.791;
250; 133312.581; 1401.586;
500; 125916.886; 2383.868;
1K; 114988.088; 192.64;
2K; 100089.783; 1043.398;
4K; 96609.723; 339.062;
15K; 98297.199; 248.575;
