pos;color;setup; usr; sys; idl; wai; stl;
0;1;16; 30.433;68.571;0.612;0.384;0;
1;1;256; 30.018;68.962;0.615;0.405;0;
2;1;512; 32.506;66.504;0.626;0.365;0;
3;2;{/:Bold 1024}; 31.731;67.273;0.624;0.372;0;
4;1;2048; 31.666;67.331;0.622;0.38;0;
5;1;4096; 33.119;65.201;0.686;0.993;0;
