#sysdig; complete; incomplete;
125; 1988629; 139;
250; 3450790; 438;
500; 4564257; 768;
1000; 6300107; 1031;
2000; 5951794; 825;
4000; 5778625; 696;


#sysdig; throughput-avg; throughput-dev;
125; 143842.658; 777.464;
250; 133312.581; 1401.586;
500; 125916.886; 2383.868;
1000; 114988.088; 192.64;
2000; 100089.783; 1043.398;
4000; 96609.723; 339.062;
