setup; used; free; buff; cach;
1; 1.981538347; 12.01323815; 0.05279666945; 1.245180005;
4; 2.216450146; 11.79107583; 0.04998949627; 1.236717395
7; 2.387201581; 11.63784446; 0.04926469823; 1.225515317;
10; 2.529256091; 11.47716307; 0.04969384509; 1.237786117
15; 2.787070691; 11.19777098; 0.05041783211; 1.259073548;
