#strace - events; complete; incomplete;
detailedP_{all}C_{uhash}; 189198899.667; 6528843.778; 12618880.333; 435258.047; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 54597290.333; 3586923.595; 19154200.667; 664323.046; 3197681.667; 111558.617; 0.0; 0.0; 138019274.667; 9889627.047; 9201217.0; 658860.756; 6.0; 1.0; 51179619.0; 3363161.971; 3417663.333; 223761.606; 8.0; 1.0; 51179619.0; 3363161.971; 219981.667; 173645.253; 0.0; 0.0; 9383742.333; 616849.789;
detailedP_{all}C_{khash}; 129405256.0; 3755135.586; 8632604.0; 250343.225; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 52335032.333; 4886209.85; 8920054.0; 1045463.357; 2973980.0; 347969.638; 0.0; 0.0; 80346344.0; 8313874.456; 5356485.667; 554237.337; 6.0; 1.0; 49058906.0; 4580841.367; 3276118.333; 305369.26; 8.0; 1.0; 49058906.0; 4580841.367; 302138.333; 42802.824; 0.0; 0.0; 8995625.0; 839491.712;


#dio-elk - throughput
raw; 137521.892; 93.813;
detailedP_{fds}; 132982.383; 2348.096;
detailedP_{all}; 126224.974; 3104.591;
detailedP_{all}C_{uhash}; 115582.963; 3989.717;
detailedP_{all}C_{khash}; 79047.866; 2293.059;
