setup; used; free; buff; cach;
16; 1.362451156; 12.63797833; 0.04717721141; 1.249948125;
256; 1.605730488; 12.39467268; 0.0474611913; 1.249675496;
512; 1.870991617; 12.12779581; 0.04823859302; 1.250483671;
1024; 2.351479083; 11.64868047; 0.0497130472; 1.247359042;
2048; 3.341333568; 10.65831626; 0.05184730694; 1.246066722;
4096; 5.350567112; 8.631364705; 0.0552899231; 1.259242976;
