setup; usr; sys; idl; wai; stl;
125; 20.902; 66.148; 12.495; 0.455; 0;
250; 23.616; 55.932; 20.07; 0.382; 0;
500; 26.245; 52.475; 20.934; 0.346; 0;
1000; 30.956; 47.462; 21.319; 0.263; 0;
2000; 37.93; 40.845; 21.118; 0.107; 0;
4000; 39.43; 38.84; 21.651; 0.079; 0;
15000; 44.086; 44.233; 11.626; 0.056; 0;


