setup; used; free; buff; cach;
125; 1.566159679; 12.40757568; 0.05023955698; 1.263539025;
250; 1.541776412; 12.46710115; 0.05027596756; 1.229727455;
500; 1.569662282; 12.44385539; 0.05032038189; 1.225778637
1000; 1.617218211; 12.43323016; 0.05051764347; 1.18934521;
2000; 1.773227469; 12.28165577; 0.05017524124; 1.186242443;
4000; 1.747593426; 12.30586247; 0.0503632087; 1.187599374;


